"chr" "pos" "mu1" "mu2" "diff" "diff.se" "stat" "phi1" "phi2" "pval" "fdr" "postprob.overThreshold"
"chr1" 46485994 0.760221086331795 0.00279964154359998 0.757421444788195 0.0550943871282466 13.7477061506302 0.0497870683678639 0.0497870683678639 5.25700074878163e-43 5.66880930430431e-36 1
"chr10" 26374366 0.00299265364524884 0.498350936027631 -0.495358282382382 0.0471107769446436 -10.5147551050674 0.0497956698879031 0.0497870683678639 7.3872472829537e-26 4.7795575612779e-21 1
"chr10" 26374367 0.00299265364524884 0.498350936027631 -0.495358282382382 0.0470617349900265 -10.5257122901942 0.0497870683678639 0.0497870683678639 6.5762160681145e-26 4.28913248435556e-21 1
"chr10" 26374368 0.00300624794884356 0.494198891875638 -0.491192643926795 0.0469467353288746 -10.462764673323 0.049795716166713 0.0497870683678639 1.2806346181537e-25 7.96703926424615e-21 1
"chr10" 26374369 0.00300624794884356 0.494198891875638 -0.491192643926795 0.0468978581891461 -10.4736690094832 0.0497870683678639 0.0497870683678639 1.14131753953231e-25 7.1277391120246e-21 1
"chr10" 26374372 0.00300903501603922 0.498350936027631 -0.495341901011592 0.0470442426849344 -10.529277818946 0.0497870683678639 0.0497870683678639 6.33183823115646e-26 4.15487492950363e-21 1
"chr10" 26374373 0.00300903501603922 0.498350936027631 -0.495341901011592 0.0470442426849344 -10.529277818946 0.0497870683678639 0.0497870683678639 6.33183823115646e-26 4.15487492950363e-21 1
"chr10" 26374377 0.00300903501603922 0.498350936027631 -0.495341901011592 0.0470442426849344 -10.529277818946 0.0497870683678639 0.0497870683678639 6.33183823115646e-26 4.15487492950363e-21 1
"chr13" 107022445 0.00737661243245305 0.349656048530608 -0.342279436098155 0.0260365443459153 -13.1461161493135 0.0498467057853922 0.0497870683678639 1.79142440019547e-39 1.75614191663451e-33 1
"chr13" 107022449 0.00726097718649145 0.3428547951164 -0.335593817929908 0.0255237995541925 -13.1482703904397 0.0498085510173764 0.0497870683678639 1.74111692986712e-39 1.75614191663451e-33 1
"chr13" 107022453 0.00726830806800697 0.349656048530608 -0.342387740462601 0.0258874296841206 -13.2260230019136 0.0498085602217307 0.0497870683678639 6.2086696922156e-40 8.08393628677696e-34 1
"chr13" 107022455 0.00726830806800697 0.349656048530608 -0.342387740462601 0.0258874296841206 -13.2260230019136 0.0498085602217307 0.0497870683678639 6.2086696922156e-40 8.08393628677696e-34 1
"chr13" 107022457 0.00724467007496293 0.349656048530608 -0.342411378455645 0.0258901282680836 -13.2255574367995 0.0498084886693784 0.0497870683678639 6.24723477062774e-40 8.08393628677696e-34 1
"chr13" 107022461 0.00717748092874751 0.346221661639992 -0.339044180711245 0.0257034511417868 -13.1906092625847 0.0498082735724997 0.0497870683678639 9.93788078483336e-40 1.07163673262148e-33 1
"chr13" 107022472 0.00700931861965432 0.346221661639992 -0.339212343020338 0.0257034029197153 -13.197176423677 0.0498077311628152 0.0497870683678639 9.10856514831937e-40 1.05505059501493e-33 1
"chr13" 107022478 0.00701166324316495 0.349656048530608 -0.342644385287443 0.0258869537902073 -13.2361802035225 0.0498077319273427 0.0497870683678639 5.42379925759208e-40 7.9754645710664e-34 1
"chr13" 107022487 0.00692623831089947 0.3428547951164 -0.3359285568055 0.0255224290957338 -13.1620918818285 0.0498074706242007 0.0497870683678639 1.45014529321762e-39 1.51329949496829e-33 1
"chr13" 107022493 0.00692815793758983 0.346221661639992 -0.339293503702402 0.0257033077332776 -13.200382893254 0.0498074702323243 0.0497870683678639 8.72902330783071e-40 1.05505059501493e-33 1
"chr13" 107022501 0.00693205133684051 0.353160007477946 -0.346227956141105 0.0259453052927378 -13.3445319773522 0.049787068367864 0.0497870683678639 1.27468613714979e-40 2.42565708638774e-34 1
"chr13" 107022504 0.00693205133684051 0.353160007477946 -0.346227956141105 0.0259453052927378 -13.3445319773522 0.049787068367864 0.0497870683678639 1.27468613714979e-40 2.42565708638774e-34 1
"chr13" 107022508 0.00693402562089314 0.35673567414643 -0.349801648525537 0.0261332098574906 -13.3853304065238 0.0497870683678639 0.0497870683678639 7.36690363204477e-41 2.01300121896239e-34 1
"chr13" 107022519 0.0069400619826412 0.365134054601109 -0.358193992618468 0.0265491823630862 -13.4917146494311 0.0497870683678639 0.0497870683678639 1.74983128716095e-41 9.43452393831188e-35 1
"chr13" 107022524 0.00694211285052402 0.36616297346072 -0.359220860610196 0.0265819944736653 -13.5136910424865 0.0497870683678639 0.0497870683678639 1.29844643297551e-41 8.40096348333019e-35 1
"chr13" 107022525 0.00694211285052402 0.36616297346072 -0.359220860610196 0.0265819944736653 -13.5136910424865 0.0497870683678639 0.0497870683678639 1.29844643297551e-41 8.40096348333019e-35 1
"chr13" 107022530 0.00694033738011383 0.36138684891605 -0.354446511535936 0.0263693632607232 -13.4416029705154 0.0497870683678639 0.0497870683678639 3.44883839778514e-41 1.11570122200976e-34 1
"chr13" 107022531 0.00694033738011383 0.36138684891605 -0.354446511535936 0.0263693632607232 -13.4416029705154 0.0497870683678639 0.0497870683678639 3.44883839778514e-41 1.11570122200976e-34 1
"chr13" 107022536 0.00694033738011383 0.36138684891605 -0.354446511535936 0.0263693632607232 -13.4416029705154 0.0497870683678639 0.0497870683678639 3.44883839778514e-41 1.11570122200976e-34 1
"chr13" 107022537 0.00694033738011383 0.36138684891605 -0.354446511535936 0.0263693632607232 -13.4416029705154 0.0497870683678639 0.0497870683678639 3.44883839778514e-41 1.11570122200976e-34 1
"chr13" 107022542 0.00689675311853873 0.352924827804017 -0.346028074685479 0.026225492855387 -13.1943402014807 0.0497870683678639 0.0497870683678639 9.45793273552491e-40 1.05505059501493e-33 1
"chr13" 107022543 0.00689675311853873 0.352924827804017 -0.346028074685479 0.026225492855387 -13.1943402014807 0.0497870683678639 0.0497870683678639 9.45793273552491e-40 1.05505059501493e-33 1
"chr13" 107022549 0.00681014503694228 0.344089865647752 -0.337279720610809 0.0263398107766946 -12.8049409113156 0.0497870683678639 0.0497870683678639 1.53842876324361e-37 1.21385999316583e-31 1
"chr13" 107022551 0.00681153735330904 0.340034170564234 -0.333222633210925 0.026414971975225 -12.6149152656099 0.049787068367864 0.0497870683678639 1.74745494135657e-36 1.17771393135983e-30 1
"chr13" 107022553 0.00681153735330904 0.340034170564234 -0.333222633210925 0.0265340028400955 -12.558325075152 0.0498070785230635 0.0497870683678639 3.57827435838289e-36 2.36239557211427e-30 1
